Date,Heart rate(count/min)
2024-07-16 20:10:22,150.000
2024-07-16 20:10:27,151.000
2024-07-16 20:10:33,151.000
2024-07-16 20:10:36,151.000
2024-07-16 20:10:43,151.000
2024-07-16 20:10:48,150.000
2024-07-16 20:10:52,150.000
2024-07-16 20:10:59,149.000
2024-07-16 20:11:00,149.000
2024-07-16 20:11:08,147.000
2024-07-16 20:11:13,144.000
2024-07-16 20:11:15,143.000
2024-07-16 20:11:21,139.000
2024-07-16 20:11:26,138.000
2024-07-16 20:11:30,139.000
2024-07-16 20:11:39,138.000
2024-07-16 20:11:40,139.000
2024-07-16 20:11:49,132.000
2024-07-16 20:11:52,134.000
2024-07-16 20:11:55,136.000
2024-07-16 20:12:04,142.000
2024-07-16 20:12:09,136.000
2024-07-16 20:12:13,137.000
2024-07-16 20:12:15,139.000
2024-07-16 20:12:24,135.000
2024-07-16 20:12:28,134.000
2024-07-16 20:12:31,134.000
2024-07-16 20:12:37,133.000
2024-07-16 20:12:43,135.000
2024-07-16 20:12:45,137.000
2024-07-16 20:12:51,140.000
2024-07-16 20:12:59,134.000
2024-07-16 20:13:00,134.000
2024-07-16 20:13:09,136.000
2024-07-16 20:13:14,137.000
2024-07-16 20:13:17,139.000
2024-07-16 20:13:24,140.000
2024-07-16 20:13:25,141.000
2024-07-16 20:13:30,143.000
2024-07-16 20:13:37,145.000
2024-07-16 20:13:43,147.000
2024-07-16 20:13:49,147.000
2024-07-16 20:13:54,147.000
2024-07-16 20:13:58,149.000
2024-07-16 20:14:03,150.000
2024-07-16 20:14:05,151.000
2024-07-16 20:14:11,151.000
2024-07-16 20:14:19,144.000
2024-07-16 20:14:22,143.000
2024-07-16 20:14:28,144.000
2024-07-16 20:14:33,146.000
2024-07-16 20:14:39,146.000
2024-07-16 20:14:44,144.000
2024-07-16 20:14:45,143.000
2024-07-16 20:14:51,142.000
2024-07-16 20:14:55,140.000
2024-07-16 20:15:03,134.000
2024-07-16 20:15:05,134.000
2024-07-16 20:15:13,127.000
2024-07-16 20:15:18,123.000
2024-07-16 20:15:20,124.000
2024-07-16 20:15:25,127.000
2024-07-16 20:15:34,137.000
2024-07-16 20:15:37,138.000
2024-07-16 20:15:40,140.000
2024-07-16 20:15:45,142.000
2024-07-16 20:15:54,142.000
2024-07-16 20:15:55,142.000
2024-07-16 20:16:04,146.000
2024-07-16 20:16:09,150.000
2024-07-16 20:16:11,150.000
2024-07-16 20:16:19,140.000
2024-07-16 20:16:23,137.000
2024-07-16 20:16:29,132.000
2024-07-16 20:16:32,132.000
2024-07-16 20:16:38,131.000
2024-07-16 20:16:44,135.000
2024-07-16 20:16:46,137.000
2024-07-16 20:16:51,138.000
2024-07-16 20:16:57,140.000
2024-07-16 20:17:02,141.000
2024-07-16 20:17:06,143.000
2024-07-16 20:17:14,145.000
2024-07-16 20:17:17,146.000
2024-07-16 20:17:20,147.000
2024-07-16 20:17:29,150.000
2024-07-16 20:17:30,151.000
2024-07-16 20:17:36,153.000
2024-07-16 20:17:44,155.000
2024-07-16 20:17:49,155.000
2024-07-16 20:17:52,156.000
2024-07-16 20:17:58,157.000
2024-07-16 20:18:02,157.000
2024-07-16 20:18:07,156.000
2024-07-16 20:18:10,156.000
2024-07-16 20:18:17,157.000
2024-07-16 20:18:24,158.000
2024-07-16 20:18:29,158.000
2024-07-16 20:18:34,158.000
2024-07-16 20:18:35,158.000
2024-07-16 20:18:44,158.000
2024-07-16 20:18:49,158.000
2024-07-16 20:18:54,159.000
2024-07-16 20:18:55,159.000
2024-07-16 20:19:02,158.000
2024-07-16 20:19:06,158.000
2024-07-16 20:19:12,158.000
2024-07-16 20:19:15,159.000
2024-07-16 20:19:21,159.000
2024-07-16 20:19:28,159.000
2024-07-16 20:19:34,159.000
2024-07-16 20:19:35,160.000
2024-07-16 20:19:40,160.000
2024-07-16 20:19:45,160.000
2024-07-16 20:19:51,160.000
2024-07-16 20:19:58,160.000
2024-07-16 20:20:02,160.000
2024-07-16 20:20:06,160.000
2024-07-16 20:20:11,161.000
2024-07-16 20:20:15,162.000
2024-07-16 20:20:23,162.000
2024-07-16 20:20:27,163.000
2024-07-16 20:20:31,163.000
2024-07-16 20:20:39,163.000
2024-07-16 20:20:40,163.000
2024-07-16 20:20:45,162.000
2024-07-16 20:20:54,163.000
2024-07-16 20:20:55,163.000
2024-07-16 20:21:00,160.000
2024-07-16 20:21:09,158.000
2024-07-16 20:21:14,158.000
2024-07-16 20:21:19,158.000
2024-07-16 20:21:23,157.000
2024-07-16 20:21:25,157.000
2024-07-16 20:21:32,157.000
2024-07-16 20:21:36,157.000
2024-07-16 20:21:42,157.000
2024-07-16 20:21:45,157.000
2024-07-16 20:21:50,158.000
2024-07-16 20:21:59,159.000
2024-07-16 20:22:00,158.000
2024-07-16 20:22:09,158.000
2024-07-16 20:22:10,158.000
2024-07-16 20:22:15,155.000
2024-07-16 20:22:20,152.000
2024-07-16 20:22:29,133.000
2024-07-16 20:22:30,133.000
2024-07-16 20:22:35,138.000
2024-07-16 20:22:40,140.000
2024-07-16 20:22:45,140.000
2024-07-16 20:22:54,149.000
2024-07-16 20:22:59,150.000
2024-07-16 20:23:00,150.000
2024-07-16 20:23:05,145.000
2024-07-16 20:23:12,138.000
2024-07-16 20:23:19,134.000
2024-07-16 20:23:24,129.000
2024-07-16 20:23:25,129.000
2024-07-16 20:23:31,124.000
2024-07-16 20:23:38,127.000
2024-07-16 20:23:40,128.000
2024-07-16 20:23:46,127.000
2024-07-16 20:23:54,125.000
2024-07-16 20:23:59,127.000
2024-07-16 20:24:00,128.000
2024-07-16 20:24:09,120.000
2024-07-16 20:24:10,121.000
2024-07-16 20:24:17,124.000
2024-07-16 20:24:20,122.000
2024-07-16 20:24:27,127.000
2024-07-16 20:24:30,127.000
2024-07-16 20:24:39,135.000
2024-07-16 20:24:40,136.000
2024-07-16 20:24:49,137.000
2024-07-16 20:24:50,138.000
2024-07-16 20:24:57,140.000
2024-07-16 20:25:00,137.000
2024-07-16 20:25:06,132.000
2024-07-16 20:25:10,132.000
2024-07-16 20:25:17,129.000
2024-07-16 20:25:24,127.000
2024-07-16 20:25:28,124.000
2024-07-16 20:25:30,124.000
2024-07-16 20:25:35,124.000
2024-07-16 20:35:48,101.000
2024-07-16 20:39:39,79.000
2024-07-16 20:48:16,88.000
2024-07-16 20:50:07,88.000
2024-07-16 20:58:24,81.000
2024-07-16 21:00:22,83.000
2024-07-16 21:06:24,81.000
2024-07-16 21:08:52,81.000
2024-07-16 21:18:06,81.000
2024-07-16 21:20:25,83.000
2024-07-17 06:38:05,67.000
2024-07-17 06:42:35,62.000
2024-07-17 06:44:54,72.000
2024-07-17 06:49:54,58.000
2024-07-17 06:54:56,62.000
2024-07-17 07:02:24,60.000
2024-07-17 07:02:43,59.054
2024-07-17 07:05:04,60.000
2024-07-17 07:10:32,61.000
2024-07-17 07:13:38,65.000
2024-07-17 07:22:46,59.000
2024-07-17 07:27:51,66.000
2024-07-17 07:29:45,66.000
2024-07-17 07:38:25,60.000
2024-07-17 07:41:25,64.000
2024-07-17 07:48:12,66.000
2024-07-17 07:52:32,63.000
2024-07-17 07:55:02,62.000
2024-07-17 08:01:57,60.000
2024-07-17 08:03:32,60.412
2024-07-17 08:04:10,60.000
2024-07-17 08:12:35,61.000
2024-07-17 08:14:21,59.000
2024-07-17 08:18:36,64.000
2024-07-17 08:33:25,56.000
2024-07-17 08:37:16,81.000
2024-07-17 08:40:10,64.000
2024-07-17 08:41:05,59.000
2024-07-17 08:44:36,91.000
2024-07-17 08:53:32,59.000
2024-07-17 08:57:08,81.000
2024-07-17 09:01:06,66.000
2024-07-17 09:04:02,91.000
2024-07-17 09:05:35,72.000
2024-07-17 09:10:55,70.000
2024-07-17 09:15:06,87.000
2024-07-17 09:17:56,92.000
2024-07-17 09:19:50,62.000
2024-07-17 09:24:42,73.000
2024-07-17 09:35:32,55.000
2024-07-17 09:54:12,75.000
